"Area" "Date" "Day" "Temperature"
"1" "Kristineberg" 2022-01-01 1 4.36229151668791
"2" "Kristineberg" 2022-01-02 2 4.29374964280079
"3" "Kristineberg" 2022-01-03 3 4.2261419247903
"4" "Kristineberg" 2022-01-04 4 4.15948504648071
"5" "Kristineberg" 2022-01-05 5 4.09379633265893
"6" "Kristineberg" 2022-01-06 6 4.02909374681739
"7" "Kristineberg" 2022-01-07 7 3.9653958876106
"8" "Kristineberg" 2022-01-08 8 3.90272198402446
"9" "Kristineberg" 2022-01-09 9 3.84109188925879
"10" "Kristineberg" 2022-01-10 10 3.78052607332547
"11" "Kristineberg" 2022-01-11 11 3.72104561436622
"12" "Kristineberg" 2022-01-12 12 3.66267218869557
"13" "Kristineberg" 2022-01-13 13 3.60542805957657
"14" "Kristineberg" 2022-01-14 14 3.54933606473798
"15" "Kristineberg" 2022-01-15 15 3.4944196026439
"16" "Kristineberg" 2022-01-16 16 3.44070261752795
"17" "Kristineberg" 2022-01-17 17 3.3882095832061
"18" "Kristineberg" 2022-01-18 18 3.33696548568358
"19" "Kristineberg" 2022-01-19 19 3.28699580457315
"20" "Kristineberg" 2022-01-20 20 3.23832649334353
"21" "Kristineberg" 2022-01-21 21 3.19098395841808
"22" "Kristineberg" 2022-01-22 22 3.14499503714588
"23" "Kristineberg" 2022-01-23 23 3.1003869746683
"24" "Kristineberg" 2022-01-24 24 3.0571873997061
"25" "Kristineberg" 2022-01-25 25 3.01542429929328
"26" "Kristineberg" 2022-01-26 26 2.97512599248541
"27" "Kristineberg" 2022-01-27 27 2.93632110307156
"28" "Kristineberg" 2022-01-28 28 2.89903853132035
"29" "Kristineberg" 2022-01-29 29 2.86330742479191
"30" "Kristineberg" 2022-01-30 30 2.8291571482488
"31" "Kristineberg" 2022-01-31 31 2.7966172527003
"32" "Kristineberg" 2022-02-01 32 2.76571744361556
"33" "Kristineberg" 2022-02-02 33 2.73648754834234
"34" "Kristineberg" 2022-02-03 34 2.70895748276926
"35" "Kristineberg" 2022-02-04 35 2.68315721727028
"36" "Kristineberg" 2022-02-05 36 2.6591167419716
"37" "Kristineberg" 2022-02-06 37 2.63686603138169
"38" "Kristineberg" 2022-02-07 38 2.6164350084265
"39" "Kristineberg" 2022-02-08 39 2.59785350793247
"40" "Kristineberg" 2022-02-09 40 2.58115123960102
"41" "Kristineberg" 2022-02-10 41 2.56635775051885
"42" "Kristineberg" 2022-02-11 42 2.55350238724917
